t,I0,Tmax,fracLeft,V_CL_plus,V_CL_minus,V1_1,V1_2,V1_3,V1_4,V1_5,V1_6,V1_7,V1_8,V1_9,V1_10,V2_1,V2_2,V2_3,V2_4,V2_5,V2_6,V2_7,V2_8,V2_9,V2_10,RTD1_1,RTD1_2,RTD1_3,RTD1_4,RTD1_5,RTD1_6,RTD1_7,RTD1_8,RTD2_1,RTD2_2,RTD2_3,RTD2_4,RTD2_5,RTD2_6,RTD2_7,RTD2_8,H1,H2
0,0,77,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.05,21.7672,77,0.5,0,3.907e-12,5.2287e-13,8.4073e-13,1.15779e-12,1.47523e-12,1.79664e-12,2.11256e-12,2.43184e-12,2.74501e-12,3.06308e-12,3.38605e-12,5.2287e-13,8.4073e-13,1.15779e-12,1.47523e-12,1.79664e-12,2.11256e-12,2.43184e-12,2.74501e-12,3.06308e-12,3.38605e-12,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.1,43.5344,77,0.5,0,7.814e-12,1.04574e-12,1.68146e-12,2.31558e-12,2.95046e-12,3.59328e-12,4.22513e-12,4.86368e-12,5.49002e-12,6.12615e-12,6.77211e-12,1.04574e-12,1.68146e-12,2.31558e-12,2.95046e-12,3.59328e-12,4.22513e-12,4.86368e-12,5.49002e-12,6.12615e-12,6.77211e-12,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.15,65.3016,77,0.5,0,1.1721e-11,1.56861e-12,2.52219e-12,3.47338e-12,4.42569e-12,5.38992e-12,6.33769e-12,7.29552e-12,8.23503e-12,9.18923e-12,1.01582e-11,1.56861e-12,2.52219e-12,3.47338e-12,4.42569e-12,5.38992e-12,6.33769e-12,7.29552e-12,8.23503e-12,9.18923e-12,1.01582e-11,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.2,87.0688,77,0.5,0,1.5628e-11,2.09148e-12,3.36292e-12,4.63117e-12,5.90092e-12,7.18656e-12,8.45026e-12,9.72737e-12,1.098e-11,1.22523e-11,1.35442e-11,2.09148e-12,3.36292e-12,4.63117e-12,5.90092e-12,7.18656e-12,8.45026e-12,9.72737e-12,1.098e-11,1.22523e-11,1.35442e-11,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.25,108.836,77,0.5,0,1.9535e-11,2.61435e-12,4.20365e-12,5.78896e-12,7.37615e-12,8.9832e-12,1.05628e-11,1.21592e-11,1.37251e-11,1.53154e-11,1.69303e-11,2.61435e-12,4.20365e-12,5.78896e-12,7.37615e-12,8.9832e-12,1.05628e-11,1.21592e-11,1.37251e-11,1.53154e-11,1.69303e-11,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.3,130.603,77,0.5,0,2.01375e-10,2.69178e-11,4.33081e-11,5.96572e-11,7.60257e-11,9.25989e-11,1.08889e-10,1.25353e-10,1.41501e-10,1.57902e-10,1.74556e-10,2.69178e-11,4.33081e-11,5.96572e-11,7.60257e-11,9.25989e-11,1.08889e-10,1.25353e-10,1.41501e-10,1.57902e-10,1.74556e-10,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.35,152.37,77,0.5,0,1.55257e-09,2.07532e-10,3.33898e-10,4.59947e-10,5.86145e-10,7.13922e-10,8.39519e-10,9.66448e-10,1.09095e-09,1.2174e-09,1.3458e-09,2.07532e-10,3.33898e-10,4.59947e-10,5.86145e-10,7.13922e-10,8.39519e-10,9.66448e-10,1.09095e-09,1.2174e-09,1.3458e-09,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.4,174.138,77,0.5,0,9.10842e-09,1.21753e-09,1.95888e-09,2.69836e-09,3.43873e-09,4.18836e-09,4.9252e-09,5.66985e-09,6.40026e-09,7.14209e-09,7.89537e-09,1.21753e-09,1.95888e-09,2.69836e-09,3.43873e-09,4.18836e-09,4.9252e-09,5.66985e-09,6.40026e-09,7.14209e-09,7.89537e-09,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.45,195.905,77,0.5,0,4.33724e-08,5.79761e-09,9.32777e-09,1.28491e-08,1.63745e-08,1.99441e-08,2.34528e-08,2.69987e-08,3.04767e-08,3.40092e-08,3.75961e-08,5.79761e-09,9.32777e-09,1.28491e-08,1.63745e-08,1.99441e-08,2.34528e-08,2.69987e-08,3.04767e-08,3.40092e-08,3.75961e-08,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.5,217.672,77,0.5,0,1.75186e-07,2.34171e-08,3.76758e-08,5.18987e-08,6.61385e-08,8.05564e-08,9.47282e-08,1.0905e-07,1.23099e-07,1.37367e-07,1.51855e-07,2.34171e-08,3.76758e-08,5.18987e-08,6.61385e-08,8.05564e-08,9.47282e-08,1.0905e-07,1.23099e-07,1.37367e-07,1.51855e-07,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.502,217.672,110.46,0.0381647,0,0.000912605,7.38555e-09,7.386e-09,7.38627e-09,7.38564e-09,7.38489e-09,0.000915465,0.00091572,0.00091524,0.000916864,0.00091684,9.14441e-05,0.000172766,0.000253885,0.000335106,0.000417343,0.000498159,0.000579837,0.00065999,0.000741364,0.000823957,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,-999,-999
0.504,217.672,127.146,0.0324699,0,0.000988048,7.38551e-09,7.38593e-09,7.38615e-09,7.38549e-09,7.3847e-09,0.000991144,0.000991421,0.000990901,0.00099266,0.000992633,9.89928e-05,0.000187039,0.000274866,0.000362803,0.000451839,0.000539345,0.000627776,0.000714559,0.000802661,0.000892081,77,77,77,77,77,77,77,77,77.0029,77.0029,77.0029,77.0029,77.0029,77.0029,77.0029,77.0029,-999,-999
0.506,217.672,139.166,0.0294658,0,0.00103138,7.38548e-09,7.38588e-09,7.38609e-09,7.3854e-09,7.3846e-09,0.00103461,0.0010349,0.00103435,0.00103619,0.00103616,0.000103321,0.00019523,0.000286909,0.000378703,0.000471643,0.000563006,0.000655316,0.000745906,0.000837872,0.000931213,77,77,77,77,77,77,77,77,77.0058,77.0058,77.0058,77.0058,77.0058,77.0058,77.0058,77.0058,-999,-999
0.508,217.672,148.779,0.0274746,0,0.00106211,7.38546e-09,7.38585e-09,7.38605e-09,7.38535e-09,7.38453e-09,0.00106544,0.00106573,0.00106517,0.00106707,0.00106704,0.000106384,0.00020103,0.000295441,0.00038997,0.000485677,0.000579799,0.000674858,0.000768149,0.000862855,0.000958974,77,77,77,77,77,77,77,77,77.0088,77.0088,77.0088,77.0088,77.0088,77.0088,77.0088,77.0088,-999,-999
0.51,217.672,156.903,0.026125,0,0.00108448,7.38546e-09,7.38584e-09,7.38603e-09,7.38532e-09,7.3845e-09,0.00108788,0.00108818,0.00108761,0.00108954,0.00108951,0.000108605,0.000205243,0.000301641,0.000398159,0.000495878,0.000592041,0.000689099,0.000784356,0.000881054,0.000979194,77,77,77,77,77,77,77,77,77.0118,77.0118,77.0118,77.0118,77.0118,77.0118,77.0118,77.0118,-999,-999
0.52,217.672,116.218,0.0364185,0,0.000959162,7.38631e-09,7.38676e-09,7.38701e-09,7.38637e-09,7.38561e-09,0.000962168,0.000962436,0.000961931,0.000963639,0.000963613,9.58829e-05,0.000181293,0.000266492,0.000351797,0.000438174,0.000524029,0.000609822,0.00069402,0.000779483,0.00086621,77,77,77,77.0011,77.001,77,77,77,77.0275,77.0275,77.0275,77.0275,77.0275,77.0275,77.0275,77.0275,-999,-999
0.53,217.672,102.214,0.0428897,0,0.000890883,7.38799e-09,7.38848e-09,7.38877e-09,7.38817e-09,7.38746e-09,0.000893674,0.000893923,0.000893454,0.00089504,0.000895016,8.88443e-05,0.000168082,0.000247125,0.000326265,0.000406444,0.000487265,0.000566899,0.00064502,0.000724306,0.000804757,77.0001,77.0001,77.0001,77.0067,77.0065,77.0001,77.0001,77.0001,77.041,77.041,77.041,77.0411,77.0411,77.041,77.041,77.041,-999,-999
0.54,217.672,96.377,0.0463804,0,0.000860684,7.39046e-09,7.39097e-09,7.39128e-09,7.3907e-09,7.39002e-09,0.00086338,0.000863621,0.000863168,0.0008647,0.000864677,8.55929e-05,0.000162034,0.00023829,0.000314639,0.000392075,0.000471342,0.000548249,0.000623621,0.000700109,0.000777714,77.0002,77.0002,77.0002,77.0223,77.0217,77.0002,77.0002,77.0002,77.0535,77.0535,77.0535,77.0538,77.0537,77.0535,77.0535,77.0535,-999,-999
0.55,217.672,93.3814,0.0485191,0,0.000846621,7.39363e-09,7.39415e-09,7.39448e-09,7.39391e-09,7.39324e-09,0.000849273,0.00084951,0.000849064,0.000850571,0.000850548,8.39364e-05,0.00015901,0.000233903,0.000308886,0.000385067,0.000464242,0.000539902,0.000613932,0.000689051,0.00076526,77.0003,77.0003,77.0004,77.0529,77.0516,77.0004,77.0003,77.0003,77.0654,77.0654,77.0654,77.0662,77.0661,77.0654,77.0654,77.0654,-999,-999
0.56,217.672,91.5458,0.0500685,0,0.000839349,7.3974e-09,7.39793e-09,7.39827e-09,7.39772e-09,7.39706e-09,0.000841979,0.000842213,0.000841772,0.000843266,0.000843243,8.29438e-05,0.00015725,0.000231378,0.000305595,0.000381171,0.000460844,0.000535903,0.000609183,0.000683534,0.000758956,77.0005,77.0005,77.0005,77.101,77.0988,77.0005,77.0005,77.0005,77.0771,77.0771,77.0771,77.0788,77.0786,77.0771,77.0771,77.0771,-999,-999
0.57,217.672,90.2575,0.0513155,0,0.000835492,7.4017e-09,7.40224e-09,7.40259e-09,7.40203e-09,7.40139e-09,0.000838109,0.000838342,0.000837903,0.00083939,0.000839367,8.22795e-05,0.000156118,0.000229781,0.000303533,0.00037885,0.000459293,0.000534096,0.000606923,0.000680806,0.000755747,77.0007,77.0007,77.0007,77.1666,77.1633,77.0007,77.0007,77.0007,77.0887,77.0887,77.0887,77.0917,77.0914,77.0887,77.0887,77.0887,-999,-999
0.58,217.672,89.2895,0.106479,0,0.000386793,7.40683e-09,7.40772e-09,7.40842e-09,7.40821e-09,7.40797e-09,0.000388001,0.000388109,0.000387905,0.000388594,0.000388583,3.79387e-05,7.20536e-05,0.000106088,0.000140164,0.00017509,0.000212929,0.000247619,0.00028127,0.000315406,0.000350026,77.0009,77.0009,77.001,77.2475,77.2431,77.001,77.0009,77.0009,77.1001,77.1001,77.1001,77.105,77.1046,77.1001,77.1001,77.1001,-999,-999
0.59,217.672,88.5046,0.163622,0,0.000163285,7.41221e-09,7.41347e-09,7.41453e-09,7.41469e-09,7.41573e-09,0.00016379,0.000163835,0.000163749,0.00016404,0.000164036,1.59564e-05,3.03271e-05,4.46643e-05,5.90192e-05,7.37947e-05,9.00071e-05,0.000104683,0.00011886,0.000133239,0.000147822,77.0011,77.0011,77.0014,77.3406,77.335,77.0013,77.0011,77.0011,77.1048,77.1048,77.1048,77.1122,77.1117,77.1048,77.1048,77.1048,-999,-999
0.6,217.672,87.8396,0.208232,0,7.9559e-05,7.41748e-09,7.41902e-09,7.42036e-09,7.4208e-09,7.44227e-09,7.97999e-05,7.98222e-05,7.97804e-05,7.99209e-05,7.99193e-05,7.74869e-06,1.47351e-05,2.17054e-05,2.86845e-05,3.59016e-05,4.39083e-05,5.10767e-05,5.79696e-05,6.49604e-05,7.20495e-05,77.0013,77.0013,77.0018,77.4421,77.4355,77.0018,77.0013,77.0013,77.1064,77.1064,77.1065,77.1169,77.1164,77.1064,77.1064,77.1064,-999,-999
0.61,217.672,87.2685,0.242869,0,4.42049e-05,7.42243e-09,7.42419e-09,7.42575e-09,7.42641e-09,7.57865e-09,4.43323e-05,4.43448e-05,4.43218e-05,4.43976e-05,4.43977e-05,4.29232e-06,8.16505e-06,1.20289e-05,1.58979e-05,1.99189e-05,2.4423e-05,2.8417e-05,3.22383e-05,3.61135e-05,4.0043e-05,77.0016,77.0016,77.0025,77.5489,77.5413,77.0024,77.0016,77.0016,77.1071,77.1071,77.1071,77.1211,77.1206,77.1071,77.1071,77.1071,-999,-999
0.62,217.672,86.773,0.270083,0,2.73286e-05,7.42964e-09,7.43394e-09,7.43804e-09,7.44128e-09,8.02013e-09,2.74002e-05,2.74083e-05,2.73943e-05,2.74384e-05,2.74397e-05,2.64632e-06,5.03458e-06,7.41742e-06,9.80369e-06,1.22968e-05,1.51134e-05,1.75899e-05,1.99467e-05,2.23366e-05,2.47598e-05,77.0018,77.0018,77.0033,77.658,77.6495,77.0033,77.0018,77.0018,77.1073,77.1073,77.1074,77.1254,77.1248,77.1074,77.1073,77.1073,-999,-999
0.63,217.672,86.3383,0.291808,0,1.838e-05,7.44182e-09,7.45342e-09,7.46481e-09,7.47546e-09,8.97165e-09,1.84209e-05,1.84272e-05,1.84181e-05,1.84449e-05,1.84471e-05,1.77538e-06,3.3774e-06,4.97584e-06,6.57679e-06,8.25873e-06,1.01732e-05,1.18439e-05,1.34252e-05,1.50283e-05,1.66537e-05,77.0021,77.0021,77.0045,77.767,77.7578,77.0044,77.0021,77.0021,77.1073,77.1074,77.1075,77.13,77.1294,77.1075,77.1074,77.1073,-999,-999
0.64,217.672,85.9533,0.309458,0,1.32014e-05,7.46048e-09,7.48549e-09,7.51026e-09,7.53463e-09,1.05478e-08,1.32234e-05,1.32297e-05,1.32234e-05,1.32403e-05,1.32429e-05,1.27231e-06,2.4198e-06,3.56478e-06,4.71176e-06,5.92368e-06,7.31234e-06,8.51622e-06,9.64907e-06,1.07974e-05,1.19617e-05,77.0023,77.0023,77.006,77.8743,77.8645,77.0059,77.0023,77.0023,77.1073,77.1073,77.1075,77.1348,77.1342,77.1075,77.1073,77.1073,-999,-999
